Sweep,Param_Name,Param_Value,Secondary_Param,Secondary_Value,SSIM_WT,SSIM_Variant,Delta_SSIM,Discriminative_Power
residence_time,kBase,0.0003,residence_min,56,1,0.9295,0.0705,0.0705
residence_time,kBase,0.0005,residence_min,33,1,0.9295,0.0705,0.0705
residence_time,kBase,0.001,residence_min,17,1,0.9295,0.0705,0.0705
residence_time,kBase,0.002,residence_min,8,1,0.9294,0.0706,0.0706
residence_time,kBase,0.003,residence_min,6,1,0.9293,0.0707,0.0707
residence_time,kBase,0.005,residence_min,3,1,0.9292,0.0708,0.0708
residence_time,kBase,0.008,residence_min,2,1,0.929,0.071,0.071
residence_time,kBase,0.01,residence_min,2,1,0.9289,0.0711,0.0711
ctcf_blocking,ctcf_blocking,0.5,permeability,0.5,1,0.9279,0.0721,0.0721
ctcf_blocking,ctcf_blocking,0.6,permeability,0.4,1,0.9283,0.0717,0.0717
ctcf_blocking,ctcf_blocking,0.7,permeability,0.3,1,0.9288,0.0712,0.0712
ctcf_blocking,ctcf_blocking,0.8,permeability,0.2,1,0.9292,0.0708,0.0708
ctcf_blocking,ctcf_blocking,0.85,permeability,0.15,1,0.9294,0.0706,0.0706
ctcf_blocking,ctcf_blocking,0.9,permeability,0.1,1,0.9296,0.0704,0.0704
ctcf_blocking,ctcf_blocking,0.95,permeability,0.05,1,0.9299,0.0701,0.0701
ctcf_blocking,ctcf_blocking,1,permeability,0,1,0.9301,0.0699,0.0699
enhancer_occupancy,enhancer_scale,0,bet_inhibition_pct,100,1,0.9829,0.0171,0.0171
enhancer_occupancy,enhancer_scale,0.25,bet_inhibition_pct,75,1,0.9523,0.0477,0.0477
enhancer_occupancy,enhancer_scale,0.5,bet_inhibition_pct,50,1,0.9385,0.0615,0.0615
enhancer_occupancy,enhancer_scale,0.75,bet_inhibition_pct,25,1,0.9324,0.0676,0.0676
enhancer_occupancy,enhancer_scale,1,bet_inhibition_pct,0,1,0.9294,0.0706,0.0706
