locus,threshold,count,n_pathogenic
HBB,0.88,32,353
HBB,0.885,53,353
HBB,0.89,107,353
HBB,0.895,142,353
HBB,0.9,171,353
HBB,0.905,191,353
HBB,0.91,217,353
HBB,0.915,224,353
HBB,0.92,240,353
HBB,0.925,248,353
HBB,0.93,261,353
HBB,0.935,265,353
HBB,0.94,273,353
HBB,0.945,279,353
HBB,0.95,287,353
HBB,0.955,300,353
HBB,0.96,309,353
HBB,0.965,311,353
HBB,0.97,317,353
HBB,0.975,328,353
HBB,0.98,330,353
HBB,0.985,333,353
HBB,0.99,334,353
BRCA1,0.88,22,7062
BRCA1,0.885,46,7062
BRCA1,0.89,52,7062
BRCA1,0.895,52,7062
BRCA1,0.9,52,7062
BRCA1,0.905,52,7062
BRCA1,0.91,52,7062
BRCA1,0.915,52,7062
BRCA1,0.92,52,7062
BRCA1,0.925,52,7062
BRCA1,0.93,52,7062
BRCA1,0.935,52,7062
BRCA1,0.94,52,7062
BRCA1,0.945,53,7062
BRCA1,0.95,53,7062
BRCA1,0.955,55,7062
BRCA1,0.96,55,7062
BRCA1,0.965,61,7062
BRCA1,0.97,68,7062
BRCA1,0.975,68,7062
BRCA1,0.98,74,7062
BRCA1,0.985,1570,7062
BRCA1,0.99,2589,7062
TP53,0.88,0,1645
TP53,0.885,0,1645
TP53,0.89,0,1645
TP53,0.895,0,1645
TP53,0.9,0,1645
TP53,0.905,0,1645
TP53,0.91,0,1645
TP53,0.915,0,1645
TP53,0.92,0,1645
TP53,0.925,0,1645
TP53,0.93,0,1645
TP53,0.935,0,1645
TP53,0.94,0,1645
TP53,0.945,2,1645
TP53,0.95,3,1645
TP53,0.955,3,1645
TP53,0.96,10,1645
TP53,0.965,115,1645
TP53,0.97,301,1645
TP53,0.975,341,1645
TP53,0.98,341,1645
TP53,0.985,565,1645
TP53,0.99,627,1645
TERT,0.88,8,431
TERT,0.885,8,431
TERT,0.89,9,431
TERT,0.895,22,431
TERT,0.9,27,431
TERT,0.905,27,431
TERT,0.91,27,431
TERT,0.915,27,431
TERT,0.92,27,431
TERT,0.925,27,431
TERT,0.93,27,431
TERT,0.935,27,431
TERT,0.94,28,431
TERT,0.945,32,431
TERT,0.95,47,431
TERT,0.955,97,431
TERT,0.96,97,431
TERT,0.965,97,431
TERT,0.97,98,431
TERT,0.975,101,431
TERT,0.98,138,431
TERT,0.985,151,431
