bin,start,end,insulation,directionality_index,compartment_pc1
0,5200000,5205000,,1.0,0.40449365519285807
1,5205000,5210000,8.312019535907183,0.6245339268322625,0.4358381532307358
2,5210000,5215000,8.191372454011264,0.3404571368465999,0.4118372777568969
3,5215000,5220000,8.313622606923191,0.3425230617825859,0.32963322423240343
4,5220000,5225000,8.071696085711293,0.027151856508913375,0.23901277783693195
5,5225000,5230000,8.069501252556714,-0.11323504876889243,0.0978188946760034
6,5230000,5235000,8.128614803179621,-0.14652893384884702,-0.10040655860782463
7,5235000,5240000,7.897730551482104,-0.29961503914493026,-0.23625607174793817
8,5240000,5245000,7.885387346839172,-0.5983688128266245,-0.37111216320868984
9,5245000,5250000,,-1.0,-0.31279976178612007
