file,n,snv,q05,bottom_reg_snv,bottom_snv,reg_snv,categories
HBB_Unified_Atlas_foxp3.csv,1103,912,1.0,653,912,653,"intronic,missense,frameshift,synonymous"
HBB_Unified_Atlas_foxp3_treg.csv,1103,912,1.0,653,912,653,"intronic,missense,frameshift,synonymous"
BRCA1_Unified_Atlas_400kb.csv,10682,7219,0.9829,51,96,1610,"synonymous,frameshift,intronic,splice_region"
BRCA1_Unified_Atlas_400kb_K562.csv,10682,7219,0.9822,51,81,1610,"synonymous,frameshift,intronic,splice_region"
BRCA1_Unified_Atlas_brca1.csv,10682,7219,0.9829,51,96,1610,"synonymous,frameshift,intronic,splice_region"
HBB_Unified_Atlas_95kb_RANDOM.csv,1103,912,0.8108,27,43,653,"intronic,missense,frameshift,synonymous"
CCDC22_Unified_Atlas_60kb.csv,486,486,0.9741,25,25,486,other
NPRL3_Unified_Atlas_90kb.csv,372,372,0.9657,21,21,372,other
NPRL3_Unified_Atlas_hba1_mutagenesis.csv,372,372,0.9657,21,21,372,other
EXOG_Unified_Atlas_250kb.csv,364,364,0.9741,19,19,364,other
HBB_Unified_Atlas_95kb_POSITION_ONLY.csv,1103,912,0.8702,18,40,653,"intronic,missense,frameshift,synonymous"
HBB_Unified_Atlas_95kb_UNIFORM_MEDIUM.csv,1103,912,0.9398,17,38,653,"intronic,missense,frameshift,synonymous"
LDLR_Unified_Atlas_300kb.csv,3284,2345,0.9939,16,31,535,"synonymous,frameshift,intronic,splice_region"
BCL11A_Unified_Atlas_100kb.csv,314,314,0.951,16,16,314,other
BCL11A_Unified_Atlas_bcl11a_mutagenesis.csv,314,314,0.9527,16,16,314,other
BCL11A_Unified_Atlas_bcl11a_erythroid.csv,182,182,0.9791,11,11,182,other
CFTR_Unified_Atlas_317kb.csv,3349,2594,0.9814,10,28,773,"synonymous,intronic,frameshift,splice_region"
LDLR_Unified_Atlas_300kb_K562.csv,3284,2345,0.991,10,26,535,"synonymous,frameshift,intronic,splice_region"
GJB2_Unified_Atlas_300kb.csv,469,379,0.9836,10,22,18,"missense,synonymous,frameshift,other"
MLH1_Unified_Atlas_300kb.csv,4060,2580,0.9819,9,32,955,"synonymous,frameshift,intronic,splice_region"
MLH1_Unified_Atlas_300kb_HCT116.csv,4060,2580,0.9836,9,32,955,"synonymous,frameshift,intronic,splice_region"
TP53_Unified_Atlas_300kb.csv,2794,1978,0.9674,3,4,552,"synonymous,frameshift,intronic,splice_region"
TP53_Unified_Atlas_300kb_IMR90.csv,2794,1978,0.9942,3,6,552,"synonymous,frameshift,intronic,splice_region"
TP53_Unified_Atlas_tp53.csv,2794,1978,0.9674,3,4,552,"synonymous,frameshift,intronic,splice_region"
SCN5A_Unified_Atlas_400kb.csv,2488,2202,0.984,2,4,521,"synonymous,intronic,frameshift,splice_region"
CFTR_Unified_Atlas_317kb_A549.csv,3349,2594,0.9845,0,0,773,"synonymous,intronic,frameshift,splice_region"
HBB_Unified_Atlas.csv,1103,912,0.887,0,18,653,"intronic,missense,frameshift,synonymous"
HBB_Unified_Atlas_95kb.csv,1103,912,0.7938,0,16,653,"intronic,missense,frameshift,synonymous"
HBB_Unified_Atlas_95kb_INVERTED.csv,1103,912,0.7678,0,56,653,"intronic,missense,frameshift,synonymous"
SCN5A_Unified_Atlas_250kb.csv,2488,2202,0.9788,0,0,521,"synonymous,intronic,frameshift,splice_region"
TERT_Unified_Atlas_300kb.csv,2089,1957,0.9567,0,65,473,"synonymous,intronic,missense,splice_region"
TERT_Unified_Atlas_300kb_SKNS.csv,2089,1957,0.9911,0,47,473,"synonymous,intronic,missense,splice_region"
BCL11A_Unified_Atlas_300kb.csv,93,0,0.9708,0,0,0,"synonymous,missense,nonsense,splice"
CCDC22_Unified_Atlas_foxp3_treg_60kb_hires.csv,236,0,0.9916,0,0,0,"other,synonymous,missense,nonsense"
FOXP3_Unified_Atlas_300kb.csv,236,0,0.9971,0,0,0,"other,synonymous,missense,nonsense"
GATA1_Unified_Atlas_300kb.csv,183,0,0.9892,0,0,0,"synonymous,missense,intronic,splice"
GPKOW_Unified_Atlas_300kb.csv,236,0,0.9949,0,0,0,"other,synonymous,missense,nonsense"
HBA1_Unified_Atlas_300kb.csv,111,0,0.9943,0,0,0,"missense,intronic,synonymous,splice"
NPRL3_Unified_Atlas_hba1_focused.csv,111,0,0.9947,0,0,0,"missense,intronic,synonymous,splice"
PTEN_Unified_Atlas_300kb.csv,1496,0,0.9709,0,0,0,"intronic,synonymous,missense,nonsense"
