tau_factor,E_factor,P_factor,Phi,k_base,enhancer_scale,ctcf_blocking,mean_LSSIM,iteration
0.5,0.5,0.5,0.5,0.001,0.5,0.5,1,1
0.5,0.5,1,0.25,0.001,0.5,1,1,2
0.5,0.5,1.5,0.16666666666666666,0.001,0.5,1.5,1,3
0.5,1,0.5,1,0.001,1,0.5,1,4
0.5,1,1,0.5,0.001,1,1,1,5
0.5,1,1.5,0.3333333333333333,0.001,1,1.5,1,6
0.5,2,0.5,2,0.001,2,0.5,1,7
0.5,2,1,1,0.001,2,1,1,8
0.5,2,1.5,0.6666666666666666,0.001,2,1.5,1,9
1,0.5,0.5,1,0.002,0.5,0.5,1,10
1,0.5,1,0.5,0.002,0.5,1,1,11
1,0.5,1.5,0.3333333333333333,0.002,0.5,1.5,1,12
1,1,0.5,2,0.002,1,0.5,1,13
1,1,1,1,0.002,1,1,1,14
1,1,1.5,0.6666666666666666,0.002,1,1.5,1,15
1,2,0.5,4,0.002,2,0.5,1,16
1,2,1,2,0.002,2,1,1,17
1,2,1.5,1.3333333333333333,0.002,2,1.5,1,18
2,0.5,0.5,2,0.004,0.5,0.5,1,19
2,0.5,1,1,0.004,0.5,1,1,20
2,0.5,1.5,0.6666666666666666,0.004,0.5,1.5,1,21
2,1,0.5,4,0.004,1,0.5,1,22
2,1,1,2,0.004,1,1,1,23
2,1,1.5,1.3333333333333333,0.004,1,1.5,1,24
2,2,0.5,8,0.004,2,0.5,1,25
2,2,1,4,0.004,2,1,1,26
2,2,1.5,2.6666666666666665,0.004,2,1.5,1,27
