Locus,Tissue,Tissue_Match,Enhancer_Boost,CTCF_Retention,Effective_CTCF_Blocking,SSIM_Variant,Delta_SSIM,Variant_Name
HBB,K562 (erythroid),matched,1,1,0.85,0.9294,0.0706,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1,0.75,0.638,0.9285,0.0715,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1,0.5,0.425,0.9276,0.0724,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1,0.25,0.213,0.9265,0.0735,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.25,1,0.85,0.9308,0.0692,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.25,0.75,0.638,0.9301,0.0699,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.25,0.5,0.425,0.9295,0.0705,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.25,0.25,0.213,0.9287,0.0713,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.5,1,0.85,0.9224,0.0776,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.5,0.75,0.638,0.9218,0.0782,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.5,0.5,0.425,0.9212,0.0788,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.5,0.25,0.213,0.9207,0.0793,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.75,1,0.85,0.9229,0.0771,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.75,0.75,0.638,0.9223,0.0777,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.75,0.5,0.425,0.9218,0.0782,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,1.75,0.25,0.213,0.9213,0.0787,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,2,1,0.85,0.9275,0.0725,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,2,0.75,0.638,0.9269,0.0731,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,2,0.5,0.425,0.9263,0.0737,VCV002024192_splice_acceptor
HBB,K562 (erythroid),matched,2,0.25,0.213,0.9258,0.0742,VCV002024192_splice_acceptor
BRCA1,MCF7 (breast),partial,1,1,0.85,0.9969,0.0031,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1,0.75,0.638,0.9969,0.0031,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1,0.5,0.425,0.9968,0.0032,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1,0.25,0.213,0.9968,0.0032,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.25,1,0.85,0.9973,0.0027,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.25,0.75,0.638,0.9973,0.0027,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.25,0.5,0.425,0.9973,0.0027,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.25,0.25,0.213,0.9972,0.0028,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.5,1,0.85,0.9975,0.0025,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.5,0.75,0.638,0.9975,0.0025,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.5,0.5,0.425,0.9974,0.0026,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.5,0.25,0.213,0.9974,0.0026,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.75,1,0.85,0.9977,0.0023,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.75,0.75,0.638,0.9976,0.0024,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.75,0.5,0.425,0.9976,0.0024,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,1.75,0.25,0.213,0.9976,0.0024,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,2,1,0.85,0.9978,0.0022,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,2,0.75,0.638,0.9978,0.0022,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,2,0.5,0.425,0.9977,0.0023,nonsense_BRCA1
BRCA1,MCF7 (breast),partial,2,0.25,0.213,0.9977,0.0023,nonsense_BRCA1
TP53,K562,partial,1,1,0.85,0.9941,0.0059,R175H_hotspot
TP53,K562,partial,1,0.75,0.638,0.9937,0.0063,R175H_hotspot
TP53,K562,partial,1,0.5,0.425,0.9932,0.0068,R175H_hotspot
TP53,K562,partial,1,0.25,0.213,0.9926,0.0074,R175H_hotspot
TP53,K562,partial,1.25,1,0.85,0.9951,0.0049,R175H_hotspot
TP53,K562,partial,1.25,0.75,0.638,0.9948,0.0052,R175H_hotspot
TP53,K562,partial,1.25,0.5,0.425,0.9944,0.0056,R175H_hotspot
TP53,K562,partial,1.25,0.25,0.213,0.9939,0.0061,R175H_hotspot
TP53,K562,partial,1.5,1,0.85,0.9957,0.0043,R175H_hotspot
TP53,K562,partial,1.5,0.75,0.638,0.9954,0.0046,R175H_hotspot
TP53,K562,partial,1.5,0.5,0.425,0.995,0.005,R175H_hotspot
TP53,K562,partial,1.5,0.25,0.213,0.9946,0.0054,R175H_hotspot
TP53,K562,partial,1.75,1,0.85,0.9961,0.0039,R175H_hotspot
TP53,K562,partial,1.75,0.75,0.638,0.9958,0.0042,R175H_hotspot
