ClinVar_ID,Position,distance_to_enhancer,distance_to_ctcf,conservation_score,cadd_score,log_distance_to_enhancer,log_distance_to_ctcf,within_1kb_enhancer,within_5kb_enhancer,label,archcode_ssim,vep_score
VCV000439130,5225466,802,20487,10.3,10.3,6.688354713946762,9.927594627879362,1,1,1,0.9942,0.15
VCV000869259,5225482,786,20503,,,6.668228248417403,9.928375268043908,1,1,1,0.9941,0.15
VCV000015474,5225482,786,20503,,,6.668228248417403,9.928375268043908,1,1,1,0.9941,0.15
VCV000015506,5225484,784,20505,,,6.665683717782408,9.928472805230037,1,1,1,0.9943,0.15
VCV000015473,5225485,783,20506,19.9,19.9,6.664409020350408,9.92852157025577,1,1,1,0.9943,0.15
VCV000632843,5225487,781,20508,,,6.661854740545311,9.928619093173733,1,1,1,0.9943,0.15
VCV000015488,5225487,781,20508,18.9,18.9,6.661854740545311,9.928619093173733,1,1,1,0.9943,0.15
VCV000036332,5225488,780,20509,18.4,18.4,6.660575149839686,9.928667851066427,1,1,1,0.9943,0.15
VCV000015616,5225488,780,20509,18.1,18.1,6.660575149839686,9.928667851066427,1,1,1,0.9943,0.15
VCV000869258,5225490,778,20511,19.9,19.9,6.658011045870748,9.928765359720396,1,1,1,0.994,0.15
VCV000869261,5225493,775,20514,,,6.654152520183219,9.928911604876287,1,1,1,0.9941,0.15
VCV000869260,5225566,702,20587,3.3,3.3,6.555356891810665,9.932463660772646,1,1,1,0.9943,0.15
VCV000393707,5225592,676,20613,3.5,3.5,6.517671272912275,9.933725735596738,1,1,1,0.994,0.15
VCV000015395,5225602,666,20623,22.4,22.4,6.502790045915623,9.934210725178968,1,1,1,0.9576,0.9
VCV000015144,5225602,666,20623,22.3,22.3,6.502790045915623,9.934210725178968,1,1,1,0.9576,0.9
VCV000015200,5225603,665,20624,23.8,23.8,6.501289670540389,9.934259211202882,1,1,1,0.9595,0.9
VCV000015265,5225604,664,20625,37.0,37.0,6.499787040655854,9.934307694876015,1,1,1,0.8902,0.9
VCV000015322,5225605,663,20626,24.8,24.8,6.498282149476434,9.934356176198595,1,1,1,0.9588,0.9
