bin,genomic_position,Phi,pearl_count,pearl_density
0,5210000,0.4249256576603398,0,0.0
1,5210600,0.2103885228888034,0,0.0
2,5211200,0.1210435351401132,0,0.0
3,5211800,0.0925755626915142,0,0.0
4,5212400,0.0977405945601127,0,0.0
5,5213000,0.1415366744886526,0,0.0
6,5213600,0.2645241617166328,0,0.0
7,5214200,0.5293200500016768,0,0.0
8,5214800,0.8344383052683825,0,0.0
9,5215400,0.7460044668359432,0,0.0
10,5216000,0.4249256576603398,0,0.0
11,5216600,0.2103885228888034,0,0.0
12,5217200,0.1210435351401132,0,0.0
13,5217800,0.0925755626915142,0,0.0
14,5218400,0.0977405945601127,0,0.0
15,5219000,0.1415366744886526,0,0.0
16,5219600,0.2645241617166328,0,0.0
17,5220200,0.5293200500016768,0,0.0
18,5220800,0.8344383052683825,0,0.0
19,5221400,0.7460044668359432,0,0.0
20,5222000,0.4249256576603398,0,0.0
21,5222600,0.2339322389493861,0,0.0
22,5223200,0.1855040778690126,0,0.0
23,5223800,0.2562580053625832,0,0.0
24,5224400,0.5263293450505518,0,0.0
25,5225000,1.241145951183819,0,0.0
26,5225600,2.683898601387079,0,0.0
27,5226200,3.371733669136405,4,6.666666666666667
28,5226800,2.0694867319451657,16,26.666666666666668
29,5227400,1.103251170181865,0,0.0
30,5228000,0.675671326580839,0,0.0
31,5228600,0.6405095204275366,0,0.0
32,5229200,1.127423668587811,0,0.0
33,5229800,2.075909582577929,0,0.0
34,5230400,1.7696032357099825,0,0.0
35,5231000,0.8669678908934811,0,0.0
36,5231600,0.5264096566072426,0,0.0
37,5232200,0.587153106176198,0,0.0
38,5232800,0.9090586205010136,0,0.0
39,5233400,1.3743278094045448,0,0.0
40,5234000,1.3333805635439155,0,0.0
41,5234600,0.5511328774558006,0,0.0
42,5235200,0.1910055501699093,0,0.0
43,5235800,0.1045147660089564,0,0.0
44,5236400,0.0977405945601127,0,0.0
45,5237000,0.1415366744886526,0,0.0
46,5237600,0.2645241617166328,0,0.0
47,5238200,0.5293200500016768,0,0.0
48,5238800,0.8344383052683825,0,0.0
49,5239400,1.0,0,0.0
