ClinVar_ID,Position_GRCh38,Category,label,is_pearl,ssim,lssim,delta_ssim,delta_lssim,delta_insulation,loop_integrity,struct_disruption_ratio,vep_score,sift_score,cadd_phred,dist_to_lcr,dist_to_nearest_enhancer,dist_to_nearest_ctcf,dist_to_tss,in_hbb_gene,log_dist_lcr,log_dist_enhancer,log_dist_ctcf,log_dist_tss,cat_missense,cat_nonsense,cat_splice,cat_frameshift,cat_synonymous,cat_3_prime_UTR,cat_5_prime_UTR,cat_promoter,cat_other,cat_non_coding
VCV001979288,5225454,other,0,0,0.9956,0.9747,0.0044,0.0253,0.029,0.0,5.75,0.1,-1.0,1.7,50346,814,20475,814,0,4.702,2.9112,4.3112,2.9112,0,0,0,0,0,0,0,0,1,0
VCV000439130,5225466,3_prime_UTR,1,0,0.9985,0.9918,0.0015,0.0082,0.017,0.0,5.4666,0.15,-1.0,10.3,50334,802,20487,802,1,4.7019,2.9047,4.3115,2.9047,0,0,0,0,0,0,0,0,1,0
VCV000869259,5225482,3_prime_UTR,1,0,0.9985,0.9918,0.0015,0.0082,0.0168,0.0,5.4666,0.15,-1.0,-1.0,50318,786,20503,786,1,4.7017,2.896,4.3118,2.896,0,0,0,0,0,0,0,0,1,0
VCV000015474,5225482,3_prime_UTR,1,0,0.9985,0.9918,0.0015,0.0082,0.0168,0.0,5.4666,0.15,-1.0,-1.0,50318,786,20503,786,1,4.7017,2.896,4.3118,2.896,0,0,0,0,0,0,0,0,1,0
VCV000015506,5225484,3_prime_UTR,1,0,0.9986,0.992,0.0014,0.008,0.016,0.0,5.7142,0.15,-1.0,-1.0,50316,784,20505,784,1,4.7017,2.8949,4.3119,2.8949,0,0,0,0,0,0,0,0,1,0
VCV000015473,5225485,3_prime_UTR,1,0,0.9985,0.9916,0.0015,0.0084,0.0168,0.0,5.6,0.15,-1.0,19.9,50315,783,20506,783,1,4.7017,2.8943,4.3119,2.8943,0,0,0,0,0,0,0,0,1,0
VCV000632843,5225487,3_prime_UTR,1,0,0.9985,0.9916,0.0015,0.0084,0.0166,0.0,5.6,0.15,-1.0,-1.0,50313,781,20508,781,1,4.7017,2.8932,4.3119,2.8932,0,0,0,0,0,0,0,0,1,0
VCV000015488,5225487,3_prime_UTR,1,0,0.9985,0.9916,0.0015,0.0084,0.0166,0.0,5.6,0.15,-1.0,18.9,50313,781,20508,781,1,4.7017,2.8932,4.3119,2.8932,0,0,0,0,0,0,0,0,1,0
VCV000036332,5225488,3_prime_UTR,1,0,0.9985,0.9917,0.0015,0.0083,0.0168,0.0,5.5333,0.15,-1.0,18.4,50312,780,20509,780,1,4.7017,2.8927,4.312,2.8927,0,0,0,0,0,0,0,0,1,0
VCV000015616,5225488,3_prime_UTR,1,0,0.9985,0.9917,0.0015,0.0083,0.0168,0.0,5.5333,0.15,-1.0,18.1,50312,780,20509,780,1,4.7017,2.8927,4.312,2.8927,0,0,0,0,0,0,0,0,1,0
