bin,genomic_position,Phi
0,5210000,0.42492565766033985
1,5210600,0.21038852288880347
2,5211200,0.12104353514011323
3,5211800,0.09257556269151422
4,5212400,0.09774059456011272
5,5213000,0.14153667448865265
6,5213600,0.2645241617166328
7,5214200,0.5293200500016768
8,5214800,0.8344383052683825
9,5215400,0.7460044668359432
10,5216000,0.42492565766033985
11,5216600,0.21038852288880347
12,5217200,0.12104353514011323
13,5217800,0.09257556269151422
14,5218400,0.09774059456011272
15,5219000,0.14153667448865265
16,5219600,0.2645241617166328
17,5220200,0.5293200500016768
18,5220800,0.8344383052683825
19,5221400,0.7460044668359432
20,5222000,0.42492565766033985
21,5222600,0.23393223894938614
22,5223200,0.18550407786901266
23,5223800,0.2562580053625832
24,5224400,0.5263293450505518
25,5225000,1.241145951183819
26,5225600,2.683898601387079
27,5226200,3.371733669136405
28,5226800,2.0694867319451657
29,5227400,1.103251170181865
30,5228000,0.675671326580839
31,5228600,0.6405095204275366
32,5229200,1.127423668587811
33,5229800,2.075909582577929
34,5230400,1.7696032357099825
35,5231000,0.8669678908934811
36,5231600,0.5264096566072426
37,5232200,0.587153106176198
38,5232800,0.9090586205010136
39,5233400,1.3743278094045448
40,5234000,1.3333805635439155
41,5234600,0.5511328774558006
42,5235200,0.1910055501699093
43,5235800,0.10451476600895643
44,5236400,0.09774059456011272
45,5237000,0.14153667448865265
46,5237600,0.2645241617166328
47,5238200,0.5293200500016768
48,5238800,0.8344383052683825
49,5239400,1.0
